WonderNetwork Server Locations
267 locations, 98 countries, 6 continents

Name                Location              Country
================================================================================
Accra               Accra                 Ghana
Adelaide            Adelaide              Australia
Albany              Latham                United States
Alblasserdam        Alblasserdam          Netherlands
Albuquerque         Albuquerque           United States
Algiers             Algiers               Algeria
Almaty              Almaty                Kazakhstan
Amsterdam           Haarlemmermeer        Netherlands
Ankara              Ankara                Turkey
Antwerp             Antwerp               Belgium
Arezzo              Arezzo                Italy
Asheville           Asheville             United States
Asuncion            Asuncion              Paraguay
Athens              Athens                Greece
Atlanta             Atlanta               United States
Auckland            Auckland              New Zealand
Austin              Austin                United States
Baku                Baku                  Azerbaijan
Baltimore           Baltimore             United States
Bangalore           Bangalore             India
Bangkok             Bangkok               Thailand
Barcelona           Barcelona             Spain
Basel               Basel                 Switzerland
Beirut              Beirut                Lebanon
Belfast             Belfast               United Kingdom
Belgrade            Belgrade              Serbia
Bergen              Bergen                Norway
Berlin              Berlin                Germany
Bern                Bern                  Switzerland
Billings            Billings              United States
Bishkek             Bishkek               Kyrgyzstan
Bogota              Bogota                Colombia
Boston              Somerville            United States
Brasilia            Brasilia              Brazil
Bratislava          Bratislava            Slovakia
Brazzaville         Brazzaville           Congo
Brisbane            Brisbane              Australia
Bristol             Bristol               United Kingdom
Brno                Brno                  Czech Republic
Brunswick           Brunswick             United States
Brussels            Brussels              Belgium
Bucharest           Bucharest             Romania
Budapest            Budapest              Hungary
Buenos Aires        Buenos Aires          Argentina
Buffalo             Buffalo               United States
Bursa               Bursa                 Turkey
Cairo               10th of Ramadan City  Egypt
Calgary             Calgary               Canada
Canberra            Canberra              Australia
Cape Town           Cape Town             South Africa
Caracas             Caracas               Venezuela
Cardiff             Cardiff               United Kingdom
Carlow              Carlow                Ireland
Charlotte           Charlotte             United States
Cheltenham          Cheltenham            United Kingdom
Chennai             Chennai               India
Cheyenne            Cheyenne              United States
Chicago             Chicago               United States
Chisinau            Chisinau              Moldova
Christchurch        Christchurch          New Zealand
Cincinnati          Cincinnati            United States
Clark               Clark                 Philippines
Cleveland           Mentor                United States
Cluj Napoca         Cluj Napoca           Romania
Colorado Springs    Colorado Springs      United States
Columbus            Columbus              United States
Copenhagen          Copenhagen            Denmark
Coventry            Coventry              United Kingdom
Cromwell            Cromwell              United States
Dagupan             Dagupan               Philippines
Dallas              Dallas                United States
Dar es Salaam       Dar es Salaam         Tanzania
Denver              Denver                United States
Des Moines          Des Moines            United States
Detroit             Detroit               United States
Dhaka               Dhaka                 Bangladesh
Douglas             Douglas               Isle of Man
Dronten             Dronten               Netherlands
Dubai               Dubai                 United Arab Emirates
Dublin              Dublin                Ireland
Dusseldorf          Dusseldorf            Germany
Edinburgh           Edinburgh             United Kingdom
Edmonton            St Albert             Canada
Eindhoven           Eindhoven             Netherlands
Falkenberg          Falkenberg            Sweden
Falkenstein         Falkenstein           Germany
Fez                 Fez                   Morocco
Frankfurt           Frankfurt             Germany
Fremont             Fremont               United States
Frosinone           Frosinone             Italy
Gdansk              Gdansk                Poland
Geneva              Vernier               Switzerland
Gosport             Gosport               United Kingdom
Graz                Graz                  Austria
Green Bay           Green Bay             United States
Groningen           Groningen             Netherlands
Guadalajara         Guadalajara           Mexico
Guatemala           Guatemala City        Guatemala
Halifax             Halifax               Canada
Hamburg             Hamburg               Germany
Hangzhou            Hangzhou              China
Hanoi               Hanoi                 Vietnam
Helsinki            Espoo                 Finland
Heredia             San Jose              Costa Rica
Ho Chi Minh City    Ho Chi Minh City      Vietnam
Hong Kong           Hong Kong             Hong Kong
Honolulu            Honolulu              United States
Houston             Houston               United States
Hyderabad           Hyderabad             India
Iasi                Iasi                  Romania
Indianapolis        Indianapolis          United States
Indore              Indore                India
Istanbul            Istanbul              Turkey
Izmir               Izmir                 Turkey
Jackson             Jackson               United States
Jacksonville        Jacksonville          United States
Jakarta             Jakarta               Indonesia
Jerusalem           Jerusalem             Israel
Joao Pessoa         Patos                 Brazil
Johannesburg        Johannesburg          South Africa
Kampala             Kampala               Uganda
Kansas City         Kansas City           United States
Karachi             Karachi               Pakistan
Karaganda           Karaganda             Kazakhstan
Kazan               Kazan                 Russia
Khabarovsk          Khabarovsk            Russia
Kharkiv             Kharkiv               Ukraine
Knoxville           Knoxville             United States
Koto                Koto                  Japan
Ktis                Ktis                  Czech Republic
Kuala Lumpur        Kuala Lumpur          Malaysia
Kyiv                Kyiv                  Ukraine
La Paz              La Paz                Bolivia
Lagos               Lagos                 Nigeria
Lahore              Lahore                Pakistan
Lansing             Lansing               United States
Las Vegas           Las Vegas             United States
Lausanne            Lausanne              Switzerland
Liege               Liege                 Belgium
Lima                Lima                  Peru
Limassol            Limassol              Cyprus
Lincoln             Lincoln               United States
Lisbon              Lisbon                Portugal
Ljubljana           Ljubljana             Slovenia
London              London                United Kingdom
Los Angeles         Los Angeles           United States
